Description,Description
"Develop a C# function to check if a given number is a narcissistic number or not. A narcissistic number is one which is equal to the sum of its digits raised to the power of the number of digits, but the number of digits must be a prime number.

To further increase the difficulty of this programming test question, consider the following modifications:

1. The input number can be very large (up to 10^18), so the function should be optimized for performance. The time complexity of the function should be O(log n), where n is the input number.
2. The function should handle negative numbers as well. A negative number is not considered narcissistic.
3. Instead of checking if the number of digits is prime, check if it is a prime number itself. If the number of digits is not prime, the function should return false.
4. Modify the function to also return the sum of the narcissistic digits in addition to a boolean value indicating whether the number is narcissistic or not.
5. Add error handling for invalid input, such as non-numeric characters or null values. The function should return an appropriate error message or throw an exception if invalid input is provided.
6. Allow the function to work with numbers in different number systems, such as binary or hexadecimal. The function should determine the number of digits based on the specified number system and check if it is prime.
7. Modify the function to use recursion instead of iteration to calculate the sum of digits raised to the power of the number of digits.

Note: Please choose at least two of the modifications above to increase the difficulty of the question.","Develop a C# function to check if a given number is a narcissistic number or not. A narcissistic number is one which is equal to the sum of its digits raised to the power of the number of digits, but the number of digits must be a prime number.

To further increase the difficulty of this programming test question, consider the following modifications:

1. The input number can be very large (up to 10^18), so the function should be optimized for performance. The time complexity of the function should be O(log n), where n is the input number.
2. The function should handle negative numbers as well. A negative number is not considered narcissistic.
3. Instead of checking if the number of digits is prime, check if it is a prime number itself. If the number of digits is not prime, the function should return false.
4. Modify the function to also return the sum of the narcissistic digits in addition to a boolean value indicating whether the number is narcissistic or not.
5. Add error handling for invalid input, such as non-numeric characters or null values. The function should return an appropriate error message or throw an exception if invalid input is provided.
6. Allow the function to work with numbers in different number systems, such as binary or hexadecimal. The function should determine the number of digits based on the specified number system and check if it is prime.
7. Modify the function to use recursion instead of iteration to calculate the sum of digits raised to the power of the number of digits.

Note: Please choose at least two of the modifications above to increase the difficulty of the question."
"Suggest a way to scale the following function for n values, where n is a positive integer, while also ensuring that the scaling process has a time complexity of O(n) or less. Additionally, you are required to use recursion instead of a loop in the implementation of the scaling process. The function should also handle cases where the input n is larger than the available memory capacity, without causing a memory overflow error.","Suggest a way to scale the following function for n values, where n is a positive integer, while also ensuring that the scaling process has a time complexity of O(n) or less. Additionally, you are required to use recursion instead of a loop in the implementation of the scaling process. The function should also handle cases where the input n is larger than the available memory capacity, without causing a memory overflow error."
"Given an array of strings and the task is to find the longest string from the given string array, but only considering strings that contain at least one uppercase letter. Additionally, the uppercase letters in the longest string should be in alphabetical order. The program should also output the number of uppercase letters in the longest string.","Given an array of strings and the task is to find the longest string from the given string array, but only considering strings that contain at least one uppercase letter. Additionally, the uppercase letters in the longest string should be in alphabetical order. The program should also output the number of uppercase letters in the longest string."
"Calculate the maximum sum of a subarray of length k that consists only of prime numbers.
Array: [2, 7, 9, 3, 13, 11, 5]
K: 4

Reference Erroneous Code:

```python
def find_max_prime_subarray(array, k):
    primes = []
    for num in array:
        if is_prime(num):
            primes.append(num)
    if len(primes) < k:
        return 0
    return sum(primes[:k])

def is_prime(num):
    if num < 2:
        return False
    for i in range(2, int(num/2) + 1):
        if num % i == 0:
            return False
    return True
```

Note: The above code does not consider the length of subarrays that consist only of prime numbers, it only returns the sum of the first k prime numbers in the array.

#Updated Test#

Calculate the maximum sum of a subarray of length k that consists only of prime numbers.
Array: [2, 7, 9, 3, 13, 11, 5, 19, 23, 17]
K: 5

Reference Erroneous Code:

```python
def find_max_prime_subarray(array, k):
    primes = []
    for num in array:
        if is_prime(num):
            primes.append(num)
    if len(primes) < k:
        return 0
    return sum(primes[:k])

def is_prime(num):
    if num < 2:
        return False
    for i in range(2, int(num/2) + 1):
        if num % i == 0:
            return False
    return True
```

Note: The above code does not consider the length of subarrays that consist only of prime numbers, it only returns the sum of the first k prime numbers in the array.","Calculate the maximum sum of a subarray of length k that consists only of prime numbers.
Array: [2, 7, 9, 3, 13, 11, 5]
K: 4

Reference Erroneous Code:

```python
def find_max_prime_subarray(array, k):
    primes = []
    for num in array:
        if is_prime(num):
            primes.append(num)
    if len(primes) < k:
        return 0
    return sum(primes[:k])

def is_prime(num):
    if num < 2:
        return False
    for i in range(2, int(num/2) + 1):
        if num % i == 0:
            return False
    return True
```

Note: The above code does not consider the length of subarrays that consist only of prime numbers, it only returns the sum of the first k prime numbers in the array.

#Updated Test#

Calculate the maximum sum of a subarray of length k that consists only of prime numbers.
Array: [2, 7, 9, 3, 13, 11, 5, 19, 23, 17]
K: 5

Reference Erroneous Code:

```python
def find_max_prime_subarray(array, k):
    primes = []
    for num in array:
        if is_prime(num):
            primes.append(num)
    if len(primes) < k:
        return 0
    return sum(primes[:k])

def is_prime(num):
    if num < 2:
        return False
    for i in range(2, int(num/2) + 1):
        if num % i == 0:
            return False
    return True
```

Note: The above code does not consider the length of subarrays that consist only of prime numbers, it only returns the sum of the first k prime numbers in the array."
"Please implement a function named ""merge_sort"" that takes a list of integers as input and returns a new list containing the same integers in ascending order. You should not use any built-in sorting functions or external libraries. 

# Additional Constraints:
1. Your solution should have a time complexity of O(nlogn), where n is the length of the input list.
2. Your solution should not use any additional data structures or variables apart from the given input list and any necessary loop counters or indices.

# Additional Instructions:
1. Your solution should be implemented using the Merge Sort algorithm.
2. You are not allowed to modify the original list in any way.
3. The integers in the sorted list should be in their original order (i.e., the relative order of equal elements should be preserved).

# Example:

Input:
[8, 3, 5, 1, 9, 2, 7, 4, 6]

Output:
[1, 2, 3, 4, 5, 6, 7, 8, 9]","Please implement a function named ""merge_sort"" that takes a list of integers as input and returns a new list containing the same integers in ascending order. You should not use any built-in sorting functions or external libraries. 

# Additional Constraints:
1. Your solution should have a time complexity of O(nlogn), where n is the length of the input list.
2. Your solution should not use any additional data structures or variables apart from the given input list and any necessary loop counters or indices.

# Additional Instructions:
1. Your solution should be implemented using the Merge Sort algorithm.
2. You are not allowed to modify the original list in any way.
3. The integers in the sorted list should be in their original order (i.e., the relative order of equal elements should be preserved).

# Example:

Input:
[8, 3, 5, 1, 9, 2, 7, 4, 6]

Output:
[1, 2, 3, 4, 5, 6, 7, 8, 9]"
"Choose a non-comparison based sorting algorithm and write a function in C++ to sort a list of positive integers in descending order. However, you are not allowed to use any built-in sorting functions or libraries. You must implement the sorting algorithm from scratch.

Additionally, you are now required to optimize the sorting algorithm to have a time complexity of O(nlogn) and a space complexity of O(1).","Choose a non-comparison based sorting algorithm and write a function in C++ to sort a list of positive integers in descending order. However, you are not allowed to use any built-in sorting functions or libraries. You must implement the sorting algorithm from scratch.

Additionally, you are now required to optimize the sorting algorithm to have a time complexity of O(nlogn) and a space complexity of O(1)."
"Write a Python function to generate a random password with length 15 containing any combination of upper and lowercase letters, numbers, and symbols. The password should meet the following requirements:

1. At least three uppercase letters.
2. At least three lowercase letters.
3. At least three numbers.
4. At least three symbols.

Additionally, the function should not use any external libraries or modules for generating the password. The function should also ensure that no two consecutive characters are the same.

Note: The time complexity of the function should be O(n), where n is the length of the password.","Write a Python function to generate a random password with length 15 containing any combination of upper and lowercase letters, numbers, and symbols. The password should meet the following requirements:

1. At least three uppercase letters.
2. At least three lowercase letters.
3. At least three numbers.
4. At least three symbols.

Additionally, the function should not use any external libraries or modules for generating the password. The function should also ensure that no two consecutive characters are the same.

Note: The time complexity of the function should be O(n), where n is the length of the password."
"Write a SQL query to find students residing in a particular city, studying in a specific college, majoring in a specific subject, and have a GPA higher than 3.5.
City: London
College: Oxford University
Major: Computer Science","Write a SQL query to find students residing in a particular city, studying in a specific college, majoring in a specific subject, and have a GPA higher than 3.5.
City: London
College: Oxford University
Major: Computer Science"
"Create a bash script that creates three TextFiles named first.txt, second.txt, and third.txt each having 100 lines of text. Each line should contain a randomly generated alphanumeric string of length between 10 and 20 characters.

The script should also ensure that no two lines in the same TextFile have the same content, and no two lines across all three TextFiles have the same content.","Create a bash script that creates three TextFiles named first.txt, second.txt, and third.txt each having 100 lines of text. Each line should contain a randomly generated alphanumeric string of length between 10 and 20 characters.

The script should also ensure that no two lines in the same TextFile have the same content, and no two lines across all three TextFiles have the same content."
"Create a function that evaluates a mathematical expression stored as a string. The expression can contain the following operators: +, -, *, /, and ^. The expression may also include parentheses. The function should handle operator precedence correctly. For example, the expression ""1+2*3/4"" should evaluate to 2.5, and the expression ""(1+2)*3/4"" should evaluate to 2.25. The function should also handle negative numbers and decimal numbers.

Additionally, the function should handle advanced mathematical functions such as trigonometric functions (sin, cos, tan), logarithmic functions (log), and exponential functions (exp).

The function should also handle complex numbers and support mathematical operations on them. For example, the expression ""1+2i*3/4"" should evaluate to (1+1.5i), and the expression ""(1+2i)*3/4"" should evaluate to (0.75+1.5i).

Furthermore, the function should support evaluating mathematical expressions in different numeral systems such as binary, octal, and hexadecimal. The function should be able to convert between different numeral systems and evaluate expressions accordingly. For example, the expression ""0b110+0o10*0xFF"" should evaluate to 256.

Lastly, the function should handle input validation and provide appropriate error messages for invalid expressions or unsupported operations. For example, if the expression contains an unknown operator or an invalid numeral system prefix, the function should throw an error with a descriptive message.

Note: It is not necessary to implement the conversion between different numeral systems yourself. You can use built-in functions or libraries for this purpose. However, you should demonstrate how the function can handle expressions in different numeral systems.","Create a function that evaluates a mathematical expression stored as a string. The expression can contain the following operators: +, -, *, /, and ^. The expression may also include parentheses. The function should handle operator precedence correctly. For example, the expression ""1+2*3/4"" should evaluate to 2.5, and the expression ""(1+2)*3/4"" should evaluate to 2.25. The function should also handle negative numbers and decimal numbers.

Additionally, the function should handle advanced mathematical functions such as trigonometric functions (sin, cos, tan), logarithmic functions (log), and exponential functions (exp).

The function should also handle complex numbers and support mathematical operations on them. For example, the expression ""1+2i*3/4"" should evaluate to (1+1.5i), and the expression ""(1+2i)*3/4"" should evaluate to (0.75+1.5i).

Furthermore, the function should support evaluating mathematical expressions in different numeral systems such as binary, octal, and hexadecimal. The function should be able to convert between different numeral systems and evaluate expressions accordingly. For example, the expression ""0b110+0o10*0xFF"" should evaluate to 256.

Lastly, the function should handle input validation and provide appropriate error messages for invalid expressions or unsupported operations. For example, if the expression contains an unknown operator or an invalid numeral system prefix, the function should throw an error with a descriptive message.

Note: It is not necessary to implement the conversion between different numeral systems yourself. You can use built-in functions or libraries for this purpose. However, you should demonstrate how the function can handle expressions in different numeral systems."
"Create a code to get the difference between two timestamps in seconds, but also consider time zones, daylight saving time, leap years, and the possibility of the timestamps being in different calendar systems.

timestamp1 = ""2024-02-28 23:59:59 UTC""
timestamp2 = ""1446-02-29 23:59:59 CE""

Note: In this rewritten test, the timestamps include time zone information (UTC) and the possibility of being in different calendar systems (CE). The code should accurately calculate the time difference, taking into account any potential time zone differences, the possibility of daylight saving time changes, the occurrence of a leap year, and the conversion between different calendar systems.","Create a code to get the difference between two timestamps in seconds, but also consider time zones, daylight saving time, leap years, and the possibility of the timestamps being in different calendar systems.

timestamp1 = ""2024-02-28 23:59:59 UTC""
timestamp2 = ""1446-02-29 23:59:59 CE""

Note: In this rewritten test, the timestamps include time zone information (UTC) and the possibility of being in different calendar systems (CE). The code should accurately calculate the time difference, taking into account any potential time zone differences, the possibility of daylight saving time changes, the occurrence of a leap year, and the conversion between different calendar systems."
"Implement a queue following the classic FIFO (First-in-first-out) principle using Python. Your implementation should support the following additional requirements:

1. Each element in the queue should have a unique identifier associated with it.
2. If an element is removed from the queue, its value along with its unique identifier should be logged to a separate file named ""queue_logs.txt"". The logging should happen immediately after the element is removed from the queue.
3. The queue should support the following operations:
    a. enqueue(element): Add an element to the back of the queue.
    b. dequeue(): Remove and return the element from the front of the queue.
    c. get_front(): Return the element at the front of the queue without removing it.
    d. is_empty(): Return True if the queue is empty, False otherwise.
    e. size(): Return the number of elements in the queue.
    f. clear(): Remove all elements from the queue.

Additional Requirements:

4. The implementation should have a time complexity of O(1) for enqueue, dequeue, get_front, is_empty, and size operations.
5. The unique identifier for each element should be generated automatically.
6. The logging to the ""queue_logs.txt"" file should append the logged values to the existing content, if any.
7. The implementation should handle edge cases such as attempting to dequeue from an empty queue or getting the front element from an empty queue. It should raise appropriate exceptions in these cases.
8. The implementation should be able to handle a large number of elements in the queue efficiently without exceeding memory limits.","Implement a queue following the classic FIFO (First-in-first-out) principle using Python. Your implementation should support the following additional requirements:

1. Each element in the queue should have a unique identifier associated with it.
2. If an element is removed from the queue, its value along with its unique identifier should be logged to a separate file named ""queue_logs.txt"". The logging should happen immediately after the element is removed from the queue.
3. The queue should support the following operations:
    a. enqueue(element): Add an element to the back of the queue.
    b. dequeue(): Remove and return the element from the front of the queue.
    c. get_front(): Return the element at the front of the queue without removing it.
    d. is_empty(): Return True if the queue is empty, False otherwise.
    e. size(): Return the number of elements in the queue.
    f. clear(): Remove all elements from the queue.

Additional Requirements:

4. The implementation should have a time complexity of O(1) for enqueue, dequeue, get_front, is_empty, and size operations.
5. The unique identifier for each element should be generated automatically.
6. The logging to the ""queue_logs.txt"" file should append the logged values to the existing content, if any.
7. The implementation should handle edge cases such as attempting to dequeue from an empty queue or getting the front element from an empty queue. It should raise appropriate exceptions in these cases.
8. The implementation should be able to handle a large number of elements in the queue efficiently without exceeding memory limits."
"Train a Naive Bayes model in Python to classify emails into spam and non-spam classes. Additionally, implement a feature selection technique such as mutual information or correlation-based feature selection to select the most relevant features for classification. The program should also include a preprocessing step to handle email-specific challenges such as handling HTML tags, removing stop words, and handling email attachments. Furthermore, the program should use parallel computing techniques such as multi-threading or multiprocessing to speed up the training process and improve efficiency.","Train a Naive Bayes model in Python to classify emails into spam and non-spam classes. Additionally, implement a feature selection technique such as mutual information or correlation-based feature selection to select the most relevant features for classification. The program should also include a preprocessing step to handle email-specific challenges such as handling HTML tags, removing stop words, and handling email attachments. Furthermore, the program should use parallel computing techniques such as multi-threading or multiprocessing to speed up the training process and improve efficiency."
"Create a React app with three routes Home, About, and Contact with three separate components. Additionally, implement a navigation bar that dynamically updates the active route based on the user's current location. 

To increase the difficulty, add a feature that allows the user to search for a specific item on the Home page. Implement a search bar component that takes user input and filters the list of items displayed on the Home page based on the search query.

Furthermore, optimize the search functionality by implementing a search algorithm with a time complexity of O(log n) or better. This algorithm should efficiently search through the list of items and return the filtered results.

In addition, improve the user experience by implementing live search suggestions. As the user types in the search bar, the app should dynamically display suggestions based on the current input, without making unnecessary API calls or causing noticeable delays.

To further increase the difficulty, implement pagination for the filtered results on the Home page. The app should display a limited number of items per page and provide navigation buttons or links to navigate through the paginated results.","Create a React app with three routes Home, About, and Contact with three separate components. Additionally, implement a navigation bar that dynamically updates the active route based on the user's current location. 

To increase the difficulty, add a feature that allows the user to search for a specific item on the Home page. Implement a search bar component that takes user input and filters the list of items displayed on the Home page based on the search query.

Furthermore, optimize the search functionality by implementing a search algorithm with a time complexity of O(log n) or better. This algorithm should efficiently search through the list of items and return the filtered results.

In addition, improve the user experience by implementing live search suggestions. As the user types in the search bar, the app should dynamically display suggestions based on the current input, without making unnecessary API calls or causing noticeable delays.

To further increase the difficulty, implement pagination for the filtered results on the Home page. The app should display a limited number of items per page and provide navigation buttons or links to navigate through the paginated results."
Construct an SQL query to find the total number of female employees who have a salary above the average salary of all employees in the company and have worked for at least 10 years in a certain department in a company. The department can be any department other than Sales.,Construct an SQL query to find the total number of female employees who have a salary above the average salary of all employees in the company and have worked for at least 10 years in a certain department in a company. The department can be any department other than Sales.
